Game_ID,Round,Region,Slot,Team1,Team2,Team1_From,Team2_From,PickPct1,PickPct2,Resolved_Team1,Resolved_Team2,Team1_Win_Prob,Team2_Win_Prob,Picked_Winner,diff_off_eff,diff_def_eff,diff_tempo,diff_efg,diff_tov,diff_ftr,diff_three_rate,net_strength_gap,variance_gap
1,1,East,R64-1,Duke,Siena,,,98%,2%,Duke,Siena,0.946765449,0.053234551,Duke,21.1,-21.6,0.7,6,-1,4,12,42.7,12.7
10,1,West,R64-2,Villanova,Utah St.,,,51%,49%,Villanova,Utah St.,0.353944065,0.646055935,Utah St.,-2,-3.4,-2.4,-3,0,-8,5,1.4,7.4
11,1,West,R64-3,Wisconsin,High Point,,,83%,17%,Wisconsin,High Point,0.662704229,0.337295771,Wisconsin,8.1,-6.1,-0.9,0,0,-11,10,14.2,10.9
12,1,West,R64-4,Arkansas,Hawaii,,,92%,8%,Arkansas,Hawaii,0.840221507,0.159778493,Arkansas,20.8,-0.2,1.3,5,-7,-6,-7,21,8.3
13,1,West,R64-5,BYU,Texas,,,80%,20%,BYU,Texas,0.363650979,0.636349021,Texas,0.3,-2.3,3.1,1,0,-12,4,2.6,7.1
14,1,West,R64-6,Gonzaga,Kennesaw St.,,,95%,5%,Gonzaga,Kennesaw St.,0.923085018,0.076914982,Gonzaga,12.3,-16.9,-2.8,5,-3,-14,-12,29.2,14.8
15,1,West,R64-7,Miami FL,Missouri,,,61%,39%,Miami FL,Missouri,0.53068951,0.46931049,Miami FL,1.9,-3.8,1.6,1,-2,-5,-4,5.7,5.6
16,1,West,R64-8,Purdue,Queens,,,96%,4%,Purdue,Queens,0.918999994,0.081000006,Purdue,14.6,-16.4,-4.7,1,-2,-7,-6,31,10.7
17,1,South,R64-1,Florida,Lehigh,,,98%,2%,Florida,Lehigh,0.942722944,0.057277056,Florida,23.8,-22.8,3.8,1,-1,7,-1,46.6,4.8
18,1,South,R64-2,Clemson,Iowa,,,42%,58%,Clemson,Iowa,0.355445173,0.644554827,Iowa,-5.5,-1.9,1.1,-4,-1,2,1,-3.6,2.1
19,1,South,R64-3,Vanderbilt,McNeese,,,83%,17%,Vanderbilt,McNeese,0.705110764,0.294889236,Vanderbilt,11,-2.9,3.4,4,-1,0,9,13.9,12.4
2,1,East,R64-2,Ohio St.,TCU,,,59%,41%,Ohio St.,TCU,0.46053644,0.53946356,TCU,9.7,5.4,-1.2,6,0,-1,3,4.3,4.2
20,1,South,R64-4,Nebraska,Troy,,,87%,13%,Nebraska,Troy,0.909658285,0.090341715,Nebraska,8.5,-16.8,1.9,3,-3,-9,5,25.3,6.9
21,1,South,R64-5,North Carolina,VCU,,,69%,31%,North Carolina,VCU,0.497174292,0.502825708,VCU,1.3,-2.8,-1.3,1,-1,-7,-2,4.1,3.3
22,1,South,R64-6,Illinois,Penn,,,92%,8%,Illinois,Penn,0.907698628,0.092301372,Illinois,24,-8,-3.7,5,-2,-2,16,32,19.7
23,1,South,R64-7,Saint Mary's,Texas A&M,,,53%,47%,Saint Mary's,Texas A&M,0.428999232,0.571000768,Texas A&M,-0.1,-3.4,-5.4,-1,2,-1,-10,3.3,15.4
24,1,South,R64-8,Houston,Idaho,,,97%,3%,Houston,Idaho,0.902092146,0.097907854,Houston,15.9,-15.3,-4.3,0,-2,-8,-6,31.2,10.3
25,1,Midwest,R64-1,Michigan,Howard,,,98%,2%,Michigan,Howard,0.93493702,0.06506298,Michigan,24.7,-17.6,2.4,7,-3,-6,8,42.3,10.4
26,1,Midwest,R64-2,Georgia,Saint Louis,,,56%,44%,Georgia,Saint Louis,0.393001231,0.606998769,Saint Louis,5.9,3.4,0.3,-5,-3,2,-1,2.5,1.3
27,1,Midwest,R64-3,Texas Tech,Akron,,,77%,23%,Texas Tech,Akron,0.7208391,0.2791609,Texas Tech,5.5,-7.2,-4.3,-3,1,-2,3,12.7,7.3
28,1,Midwest,R64-4,Alabama,Hofstra,,,89%,11%,Alabama,Hofstra,0.784518383,0.215481617,Alabama,14.9,-1.7,8.3,3,-3,4,11,16.6,19.3
29,1,Midwest,R64-5,Tennessee,SMU,,,83%,17%,Tennessee,SMU,0.668824666,0.331175334,Tennessee,-1.8,-9.8,-3.3,-4,2,8,-4,8,7.3
3,1,East,R64-3,St. John's,Northern Iowa,,,88%,12%,St. John's,Northern Iowa,0.656013441,0.343986559,St. John's,9.5,-3.1,7.4,-3,0,16,-6,12.6,13.4
30,1,Midwest,R64-6,Virginia,Wright St.,,,95%,5%,Virginia,Wright St.,0.900823499,0.099176501,Virginia,9.4,-13.9,-1.4,1,0,-5,13,23.3,14.4
31,1,Midwest,R64-7,Kentucky,Santa Clara,,,69%,31%,Kentucky,Santa Clara,0.52551604,0.47448396,Kentucky,-2.3,-4.3,-1,-2,0,12,-6,2,7
32,1,Midwest,R64-8,Iowa St.,Tennessee St.,,,96%,4%,Iowa St.,Tennessee St.,0.928207769,0.071792231,Iowa St.,14,-19,-3.5,7,-1,0,8,33,11.5
4,1,East,R64-4,Kansas,Cal Baptist,,,93%,7%,Kansas,Cal Baptist,0.80255851,0.19744149,Kansas,11.3,-8.7,1.8,3,-3,-3,4,20,5.8
5,1,East,R64-5,Louisville,South Florida,,,62%,38%,Louisville,South Florida,0.628878644,0.371121356,Louisville,7.1,-3.7,-1.9,5,1,-7,9,10.8,10.9
6,1,East,R64-6,Michigan St.,North Dakota St.,,,95%,5%,Michigan St.,North Dakota St.,0.914250466,0.085749534,Michigan St.,10.8,-13.1,-0.4,1,2,5,-7,23.9,7.4
7,1,East,R64-7,UCLA,UCF,,,66%,34%,UCLA,UCF,0.482357899,0.517642101,UCF,2.7,-3.1,-4.9,1,-2,2,2,5.8,6.9
8,1,East,R64-8,Connecticut,Furman,,,96%,4%,Connecticut,Furman,0.908947713,0.091052287,Connecticut,15,-15.2,-1,0,-1,-2,-6,30.2,7
9,1,West,R64-1,Arizona,LIU,,,97%,3%,Arizona,LIU,0.941754105,0.058245895,Arizona,20.8,-20.4,2.3,2,-4,8,-2,41.2,4.3
33,2,East,R32-1,,,1,2,,,Duke,TCU,0.89600101,0.10399899,Duke,13.8,-9.5,-2.2,6,0,-1,7,23.3,9.2
34,2,East,R32-2,,,3,4,,,St. John's,Kansas,0.375562528,0.624437472,Kansas,0.3,1.2,2.2,-1,-1,9,-2,-0.9,4.2
35,2,East,R32-3,,,5,6,,,Louisville,Michigan St.,0.298017182,0.701982818,Michigan St.,2,4.9,3.8,2,-1,-2,17,-2.9,20.8
36,2,East,R32-4,,,7,8,,,UCF,Connecticut,0.134935788,0.865064212,Connecticut,-1.5,11.4,4.4,-2,-1,1,-6,-12.9,10.4
37,2,West,R32-1,,,9,10,,,Arizona,Utah St.,0.795928334,0.204071666,Arizona,3.7,-14,2.5,-2,0,4,-14,17.7,16.5
38,2,West,R32-2,,,11,12,,,Wisconsin,Arkansas,0.273373688,0.726626312,Arkansas,-2.6,0.8,-2.1,-2,1,-4,20,-3.4,22.1
39,2,West,R32-3,,,13,14,,,Texas,Gonzaga,0.262437095,0.737562905,Gonzaga,4,12.3,-1.9,-2,2,15,5,-8.3,6.9
40,2,West,R32-4,,,15,16,,,Miami FL,Purdue,0.194143497,0.805856503,Purdue,-8.9,-0.5,2.8,-2,3,9,-9,-8.4,11.8
41,2,South,R32-1,,,17,18,,,Florida,Iowa,0.61755236,0.38244764,Florida,4.8,-8.1,7.7,-3,1,4,-5,12.9,12.7
42,2,South,R32-2,,,19,20,,,Vanderbilt,Nebraska,0.414455748,0.585544252,Nebraska,6.2,6.7,2.7,0,-1,11,-7,-0.5,9.7
43,2,South,R32-3,,,21,22,,,VCU,Illinois,0.119546608,0.880453392,Illinois,-11.6,4.2,3.5,-1,2,11,-7,-15.8,10.5
44,2,South,R32-4,,,23,24,,,Texas A&M,Houston,0.162606576,0.837393424,Houston,-4.5,8.1,7.3,2,1,10,5,-12.6,12.3
45,2,Midwest,R32-1,,,25,26,,,Michigan,Saint Louis,0.792489542,0.207510458,Michigan,8.6,-12.1,0.6,-2,-1,3,-3,20.7,3.6
46,2,Midwest,R32-2,,,27,28,,,Texas Tech,Alabama,0.341391056,0.658608944,Alabama,-3.5,-3.5,-6.8,1,3,-10,-6,-1.42E-14,12.8
47,2,Midwest,R32-3,,,29,30,,,Tennessee,Virginia,0.35643105,0.64356895,Virginia,-0.2,-1,-0.6,-3,1,6,-15,0.8,15.6
48,2,Midwest,R32-4,,,31,32,,,Kentucky,Iowa St.,0.186682653,0.813317347,Iowa St.,-1.7,8.1,1.5,-4,0,4,0,-9.8,1.5
49,3,East,S16-1,,,33,34,,,Duke,Kansas,0.780060565,0.219939435,Duke,9,-6.3,-2.2,5,0,5,8,15.3,10.2
50,3,East,S16-2,,,35,36,,,Michigan St.,Connecticut,0.443204641,0.556795359,Connecticut,0.1,-0.6,1,-1,1,6,-4,0.7,5
51,3,West,S16-1,,,37,38,,,Arizona,Arkansas,0.765104051,0.234895949,Arizona,-1.3,-12.6,-1,-2,3,7,-6,11.3,7
52,3,West,S16-2,,,39,40,,,Gonzaga,Purdue,0.360076203,0.639923797,Purdue,-8.4,-7.1,3.7,-2,0,2,-10,-1.3,13.7
53,3,South,S16-1,,,41,42,,,Florida,Nebraska,0.60600411,0.39399589,Florida,7.1,-1.3,4,-1,2,12,-14,8.4,18
54,3,South,S16-2,,,43,44,,,Illinois,Houston,0.434645154,0.565354846,Houston,6.7,6.4,2.2,3,0,6,10,0.3,12.2
55,3,Midwest,S16-1,,,45,46,,,Michigan,Alabama,0.810925519,0.189074481,Michigan,-1.1,-14.3,-1.5,3,3,1,-12,13.2,13.5
56,3,Midwest,S16-2,,,47,48,,,Virginia,Iowa St.,0.259211599,0.740788401,Iowa St.,-1.6,4.3,-0.9,-2,1,-1,8,-5.9,8.9
57,4,East,E8-1,,,49,50,,,Duke,Connecticut,0.792278114,0.207721886,Duke,5.8,-6.6,0.4,2,-1,8,4,12.4,4.4
58,4,West,E8-1,,,51,52,,,Arizona,Purdue,0.649206207,0.350793793,Arizona,-3.9,-11.7,5.2,-3,2,14,-14,7.8,19.2
59,4,South,E8-1,,,53,54,,,Florida,Houston,0.463024101,0.536975899,Houston,1.4,-1.6,7.5,2,3,12,-4,3,11.5
60,4,Midwest,E8-1,,,55,56,,,Michigan,Iowa St.,0.57467715,0.42532285,Michigan,5.3,-2.8,4.8,1,1,4,3,8.1,7.8
61,5,FinalFour,FF-1,,,57,59,,,Duke,Houston,0.660172123,0.339827877,Duke,3.4,-4.9,2,5,2,11,3,8.3,5
62,5,FinalFour,FF-2,,,58,60,,,Arizona,Michigan,0.311895604,0.688104396,Michigan,-1.9,0.1,-1.4,-3,-1,5,-15,-2,16.4
63,6,Championship,Title,,,61,62,,,Duke,Michigan,0.421921078,0.578078922,Michigan,-0.1,-1.5,-6.2,-1,-1,0,2,1.4,8.2
