Team,Round,Advance_Prob
Duke,1,0.94604
Florida,1,0.94232
Arizona,1,0.94104
Michigan,1,0.9351
Iowa St.,1,0.93014
Gonzaga,1,0.92296
Purdue,1,0.91814
Michigan St.,1,0.91548
Nebraska,1,0.9123
Connecticut,1,0.90914
Illinois,1,0.90846
Houston,1,0.9006
Virginia,1,0.89984
Arkansas,1,0.8414
Kansas,1,0.80194
Alabama,1,0.78578
Texas Tech,1,0.72212
Vanderbilt,1,0.70364
Tennessee,1,0.66798
Wisconsin,1,0.66352
St. John's,1,0.65464
Utah St.,1,0.64586
Iowa,1,0.64474
Texas,1,0.63636
Louisville,1,0.63088
Saint Louis,1,0.61042
Texas A&M,1,0.56926
TCU,1,0.54026
Miami FL,1,0.53066
Kentucky,1,0.52812
UCF,1,0.51928
VCU,1,0.50256
North Carolina,1,0.49744
UCLA,1,0.48072
Santa Clara,1,0.47188
Missouri,1,0.46934
Ohio St.,1,0.45974
Saint Mary's,1,0.43074
Georgia,1,0.38958
South Florida,1,0.36912
BYU,1,0.36364
Clemson,1,0.35526
Villanova,1,0.35414
Northern Iowa,1,0.34536
High Point,1,0.33648
SMU,1,0.33202
McNeese,1,0.29636
Akron,1,0.27788
Hofstra,1,0.21422
Cal Baptist,1,0.19806
Hawaii,1,0.1586
Wright St.,1,0.10016
Idaho,1,0.0994
Penn,1,0.09154
Furman,1,0.09086
Troy,1,0.0877
North Dakota St.,1,0.08452
Queens,1,0.08186
Kennesaw St.,1,0.07704
Tennessee St.,1,0.06986
Howard,1,0.0649
LIU,1,0.05896
Lehigh,1,0.05768
Siena,1,0.05396
Duke,2,0.82628
Illinois,2,0.7863
Purdue,2,0.7709
Iowa St.,2,0.76552
Michigan,2,0.76448
Arizona,2,0.75634
Houston,2,0.73766
Connecticut,2,0.73212
Michigan St.,2,0.7049
Arkansas,2,0.66744
Gonzaga,2,0.66696
Virginia,2,0.62258
Florida,2,0.6162
Nebraska,2,0.61076
Alabama,2,0.56866
Kansas,2,0.56472
Vanderbilt,2,0.3199
Texas Tech,2,0.31666
St. John's,2,0.30732
Tennessee,2,0.27216
Iowa,2,0.26996
Wisconsin,2,0.24128
Louisville,2,0.21924
Texas,2,0.19736
Utah St.,2,0.1588
Saint Louis,2,0.1585
UCLA,2,0.15342
Miami FL,2,0.13162
Texas A&M,2,0.1295
BYU,2,0.12576
Kentucky,2,0.12266
Saint Mary's,2,0.11676
Clemson,2,0.11124
North Carolina,2,0.10612
Santa Clara,2,0.10386
UCF,2,0.09532
VCU,2,0.09286
Ohio St.,2,0.09082
SMU,2,0.08936
Missouri,2,0.08508
Villanova,2,0.08172
TCU,2,0.07926
Northern Iowa,2,0.0784
Georgia,2,0.07408
Hofstra,2,0.06464
South Florida,2,0.05826
McNeese,2,0.05358
High Point,2,0.05132
Akron,2,0.05004
Cal Baptist,2,0.04956
Hawaii,2,0.03996
Furman,2,0.01914
North Dakota St.,2,0.0176
Idaho,2,0.01608
Wright St.,2,0.0159
Troy,2,0.01576
Penn,2,0.01472
Queens,2,0.0124
Kennesaw St.,2,0.00992
Tennessee St.,2,0.00796
Siena,2,0.00364
LIU,2,0.00314
Howard,2,0.00294
Lehigh,2,0.0026
Duke,3,0.64164
Michigan,3,0.61684
Arizona,3,0.60282
Iowa St.,3,0.56308
Purdue,3,0.51952
Houston,3,0.4554
Connecticut,3,0.44884
Florida,3,0.40262
Illinois,3,0.39516
Michigan St.,3,0.37228
Nebraska,3,0.32194
Gonzaga,3,0.28702
Arkansas,3,0.24048
Virginia,3,0.20568
Alabama,3,0.18788
Kansas,3,0.17042
Vanderbilt,3,0.14672
St. John's,3,0.1156
Texas Tech,3,0.11538
Tennessee,3,0.10674
Iowa,3,0.0867
Louisville,3,0.08258
Wisconsin,3,0.07104
Miami FL,3,0.06572
Kentucky,3,0.06236
Texas,3,0.05992
UCLA,3,0.05724
Saint Mary's,3,0.05338
Utah St.,3,0.04758
Texas A&M,3,0.04702
Santa Clara,3,0.0446
Saint Louis,3,0.03946
Ohio St.,3,0.03808
BYU,3,0.03604
Missouri,3,0.0297
Clemson,3,0.02666
Villanova,3,0.02544
UCF,3,0.02498
North Carolina,3,0.02496
Georgia,3,0.02368
VCU,3,0.0214
TCU,3,0.01998
SMU,3,0.01598
McNeese,3,0.01308
South Florida,3,0.01064
Northern Iowa,3,0.00976
Hofstra,3,0.00882
Akron,3,0.00784
High Point,3,0.00782
Hawaii,3,0.00466
Cal Baptist,3,0.00428
Troy,3,0.00216
Furman,3,0.00196
Idaho,3,0.00194
North Dakota St.,3,0.00148
Queens,3,0.00124
Kennesaw St.,3,0.00084
Tennessee St.,3,0.00078
Wright St.,3,0.00078
Penn,3,0.00074
Siena,3,0.00024
LIU,3,0.00016
Lehigh,3,0.00012
Howard,3,0.0001
Duke,4,0.50598
Arizona,4,0.41908
Michigan,4,0.39242
Houston,4,0.3097
Iowa St.,4,0.2949
Purdue,4,0.26024
Illinois,4,0.2565
Florida,4,0.20862
Connecticut,4,0.16666
Michigan St.,4,0.15282
Gonzaga,4,0.13022
Nebraska,4,0.09636
Arkansas,4,0.09186
Virginia,4,0.08238
Alabama,4,0.0776
Kansas,4,0.0632
Tennessee,4,0.05378
Vanderbilt,4,0.04502
St. John's,4,0.04444
Texas Tech,4,0.04148
Louisville,4,0.0302
Kentucky,4,0.0244
Saint Mary's,4,0.02396
Miami FL,4,0.0226
Texas,4,0.02028
Wisconsin,4,0.01912
Iowa,4,0.01874
Texas A&M,4,0.01706
UCLA,4,0.0142
BYU,4,0.01288
Santa Clara,4,0.01152
North Carolina,4,0.01096
Utah St.,4,0.01066
Ohio St.,4,0.00982
Saint Louis,4,0.00886
VCU,4,0.00728
Georgia,4,0.00674
Missouri,4,0.00636
Villanova,4,0.0054
UCF,4,0.0045
Clemson,4,0.00414
TCU,4,0.00374
SMU,4,0.00364
South Florida,4,0.00236
Northern Iowa,4,0.00132
McNeese,4,0.00128
Akron,4,0.00116
Hofstra,4,0.00098
High Point,4,0.00066
Hawaii,4,0.00044
Cal Baptist,4,0.00032
North Dakota St.,4,0.00028
Queens,4,0.0002
Furman,4,0.00016
Idaho,4,0.00016
Troy,4,0.00012
Penn,4,0.0001
Wright St.,4,8e-05
Tennessee St.,4,4e-05
Howard,4,2e-05
Duke,5,0.32724
Michigan,5,0.30092
Arizona,5,0.21236
Iowa St.,5,0.1861
Houston,5,0.1516
Florida,5,0.13872
Illinois,5,0.1356
Purdue,5,0.08992
Connecticut,5,0.05852
Michigan St.,5,0.05636
Nebraska,5,0.0395
Gonzaga,5,0.03732
Virginia,5,0.03416
Alabama,5,0.0316
Arkansas,5,0.02736
Tennessee,5,0.0234
Vanderbilt,5,0.01828
Kansas,5,0.01722
Texas Tech,5,0.0172
St. John's,5,0.0139
Kentucky,5,0.0098
Saint Mary's,5,0.00974
Louisville,5,0.00952
Iowa,5,0.00616
Texas A&M,5,0.0052
Wisconsin,5,0.00514
Miami FL,5,0.00452
Texas,5,0.00402
North Carolina,5,0.00344
Santa Clara,5,0.00328
Saint Louis,5,0.00284
BYU,5,0.00276
UCLA,5,0.0027
Georgia,5,0.00212
Ohio St.,5,0.00208
Utah St.,5,0.00184
VCU,5,0.00156
SMU,5,0.0012
Villanova,5,0.00102
Clemson,5,0.00098
Missouri,5,0.00072
UCF,5,0.00058
TCU,5,0.0004
South Florida,5,0.00024
McNeese,5,0.00024
Akron,5,0.00022
Northern Iowa,5,0.00014
Hofstra,5,0.00012
Troy,5,4e-05
Idaho,5,2e-05
Hawaii,5,2e-05
North Dakota St.,5,2e-05
High Point,5,2e-05
Tennessee St.,5,2e-05
Michigan,6,0.21492
Duke,6,0.1952
Arizona,6,0.14722
Iowa St.,6,0.09328
Florida,6,0.06438
Houston,6,0.0517
Illinois,6,0.049
Purdue,6,0.0395
Gonzaga,6,0.01856
Michigan St.,6,0.01786
Connecticut,6,0.01622
Virginia,6,0.01308
Alabama,6,0.01108
Arkansas,6,0.01074
Tennessee,6,0.0105
Nebraska,6,0.00944
Texas Tech,6,0.0062
Vanderbilt,6,0.00536
Kansas,6,0.00328
St. John's,6,0.00314
Kentucky,6,0.0031
Louisville,6,0.00202
Saint Mary's,6,0.00178
Wisconsin,6,0.00148
Miami FL,6,0.00142
Texas,6,0.00118
BYU,6,0.00098
Iowa,6,0.00096
Saint Louis,6,0.00086
Santa Clara,6,0.00068
Texas A&M,6,0.00066
North Carolina,6,0.00064
Utah St.,6,0.0006
Georgia,6,0.0006
Ohio St.,6,0.00056
UCLA,6,0.00054
SMU,6,0.00032
VCU,6,0.00028
Villanova,6,0.00028
Clemson,6,0.00016
Missouri,6,0.00012
South Florida,6,4e-05
UCF,6,4e-05
Akron,6,2e-05
McNeese,6,2e-05
